,breed,characteristic,rating
1176,Boxer,Affectionate with Family,5
1177,Boxer,Incredibly Kid Friendly Dogs,4
1178,Boxer,Dog Friendly,3
1179,Boxer,Friendly Toward Strangers,4
1180,Boxer,Amount Of Shedding,4
1181,Boxer,Drooling Potential,2
1182,Boxer,Easy To Groom,5
1183,Boxer,General Health,2
1184,Boxer,Potential For Weight Gain,4
1185,Boxer,Size,3
1186,Boxer,Easy To Train,4
1187,Boxer,Intelligence,4
1188,Boxer,Potential For Mouthiness,2
1189,Boxer,Prey Drive,3
1190,Boxer,Tendency To Bark Or Howl,3
1191,Boxer,Wanderlust Potential,3
1192,Boxer,Energy Level,5
1193,Boxer,Intensity,5
1194,Boxer,Exercise Needs,5
1195,Boxer,Potential For Playfulness,5
1196,Boykin Spaniel,Adapts Well to Apartment Living,1
1197,Boykin Spaniel,Good For Novice Owners,3
1198,Boykin Spaniel,Sensitivity Level,4
1199,Boykin Spaniel,Tolerates Being Alone,3
1200,Boykin Spaniel,Tolerates Cold Weather,3
1201,Boykin Spaniel,Tolerates Hot Weather,4
1202,Boykin Spaniel,Affectionate with Family,5
1203,Boykin Spaniel,Incredibly Kid Friendly Dogs,5
1204,Boykin Spaniel,Dog Friendly,4
1205,Boykin Spaniel,Friendly Toward Strangers,3
1206,Boykin Spaniel,Amount Of Shedding,4
1207,Boykin Spaniel,Drooling Potential,1
1208,Boykin Spaniel,Easy To Groom,1
1209,Boykin Spaniel,General Health,2
1210,Boykin Spaniel,Potential For Weight Gain,4
1211,Boykin Spaniel,Size,3
1212,Boykin Spaniel,Easy To Train,4
1213,Boykin Spaniel,Intelligence,4
1214,Boykin Spaniel,Potential For Mouthiness,4
1215,Boykin Spaniel,Prey Drive,2
1216,Boykin Spaniel,Tendency To Bark Or Howl,3
1217,Boykin Spaniel,Wanderlust Potential,4
1218,Boykin Spaniel,Energy Level,5
1219,Boykin Spaniel,Intensity,5
1220,Boykin Spaniel,Exercise Needs,5
1221,Boykin Spaniel,Potential For Playfulness,4
1222,Bracco Italiano,Adapts Well to Apartment Living,1
1223,Bracco Italiano,Good For Novice Owners,2
1224,Bracco Italiano,Sensitivity Level,4
1225,Bracco Italiano,Tolerates Being Alone,3
1226,Bracco Italiano,Tolerates Cold Weather,3
1227,Bracco Italiano,Tolerates Hot Weather,3
1228,Bracco Italiano,Affectionate with Family,5
1229,Bracco Italiano,Incredibly Kid Friendly Dogs,3
1230,Bracco Italiano,Dog Friendly,5
1231,Bracco Italiano,Friendly Toward Strangers,3
1232,Bracco Italiano,Amount Of Shedding,3
1233,Bracco Italiano,Drooling Potential,3
1234,Bracco Italiano,Easy To Groom,5
1235,Bracco Italiano,General Health,2
1236,Bracco Italiano,Potential For Weight Gain,3
1237,Bracco Italiano,Size,4
1238,Bracco Italiano,Easy To Train,3
1239,Bracco Italiano,Intelligence,4
1240,Bracco Italiano,Potential For Mouthiness,3
1241,Bracco Italiano,Prey Drive,5
1242,Bracco Italiano,Tendency To Bark Or Howl,2
1243,Bracco Italiano,Wanderlust Potential,3
1244,Bracco Italiano,Energy Level,4
1245,Bracco Italiano,Intensity,4
1246,Bracco Italiano,Exercise Needs,5
1247,Bracco Italiano,Potential For Playfulness,3
1248,Briard,Adapts Well to Apartment Living,3
1249,Briard,Good For Novice Owners,3
1250,Briard,Sensitivity Level,4
1251,Briard,Tolerates Being Alone,3
1252,Briard,Tolerates Cold Weather,4
1253,Briard,Tolerates Hot Weather,3
1254,Briard,Affectionate with Family,4
1255,Briard,Incredibly Kid Friendly Dogs,5
1256,Briard,Dog Friendly,5
1257,Briard,Friendly Toward Strangers,2
1258,Briard,Amount Of Shedding,1
1259,Briard,Drooling Potential,1
1260,Briard,Easy To Groom,1
1261,Briard,General Health,3
1262,Briard,Potential For Weight Gain,3
1263,Briard,Size,4
1264,Briard,Easy To Train,4
1265,Briard,Intelligence,4
1266,Briard,Potential For Mouthiness,2
1267,Briard,Prey Drive,3
1268,Briard,Tendency To Bark Or Howl,4
1269,Briard,Wanderlust Potential,5
1270,Briard,Energy Level,4
1271,Briard,Intensity,4
1272,Briard,Exercise Needs,4
1273,Briard,Potential For Playfulness,4
1274,Brittany,Adapts Well to Apartment Living,1
1275,Brittany,Good For Novice Owners,3
1276,Brittany,Sensitivity Level,5
1277,Brittany,Tolerates Being Alone,1
1278,Brittany,Tolerates Cold Weather,4
1279,Brittany,Tolerates Hot Weather,3
1280,Brittany,Affectionate with Family,5
1281,Brittany,Incredibly Kid Friendly Dogs,5
1282,Brittany,Dog Friendly,5
1283,Brittany,Friendly Toward Strangers,4
1284,Brittany,Amount Of Shedding,3
1285,Brittany,Drooling Potential,5
1286,Brittany,Easy To Groom,3
1287,Brittany,General Health,4
1288,Brittany,Potential For Weight Gain,3
1289,Brittany,Size,3
1290,Brittany,Easy To Train,3
1291,Brittany,Intelligence,5
1292,Brittany,Potential For Mouthiness,3
1293,Brittany,Prey Drive,5
1294,Brittany,Tendency To Bark Or Howl,3
1295,Brittany,Wanderlust Potential,4
1296,Brittany,Energy Level,5
1297,Brittany,Intensity,3
1298,Brittany,Exercise Needs,5
1299,Brittany,Potential For Playfulness,5
1300,Brussels Griffon,Adapts Well to Apartment Living,5
1301,Brussels Griffon,Good For Novice Owners,2
1302,Brussels Griffon,Sensitivity Level,5
1303,Brussels Griffon,Tolerates Being Alone,1
1304,Brussels Griffon,Tolerates Cold Weather,1
1305,Brussels Griffon,Tolerates Hot Weather,2
1306,Brussels Griffon,Affectionate with Family,5
1307,Brussels Griffon,Incredibly Kid Friendly Dogs,1
1308,Brussels Griffon,Dog Friendly,4
1309,Brussels Griffon,Friendly Toward Strangers,3
1310,Brussels Griffon,Amount Of Shedding,3
1311,Brussels Griffon,Drooling Potential,3
1312,Brussels Griffon,Easy To Groom,3
1313,Brussels Griffon,General Health,3
1314,Brussels Griffon,Potential For Weight Gain,3
1315,Brussels Griffon,Size,1
1316,Brussels Griffon,Easy To Train,3
1317,Brussels Griffon,Intelligence,4
1318,Brussels Griffon,Potential For Mouthiness,3
1319,Brussels Griffon,Prey Drive,1
1320,Brussels Griffon,Tendency To Bark Or Howl,4
1321,Brussels Griffon,Wanderlust Potential,5
1322,Brussels Griffon,Energy Level,5
1323,Brussels Griffon,Intensity,3
1324,Brussels Griffon,Exercise Needs,4
1325,Brussels Griffon,Potential For Playfulness,5
1326,Bull Terrier,Adapts Well to Apartment Living,4
1327,Bull Terrier,Good For Novice Owners,4
1328,Bull Terrier,Sensitivity Level,5
1329,Bull Terrier,Tolerates Being Alone,2
1330,Bull Terrier,Tolerates Cold Weather,1
1331,Bull Terrier,Tolerates Hot Weather,4
1332,Bull Terrier,Affectionate with Family,5
1333,Bull Terrier,Incredibly Kid Friendly Dogs,5
1334,Bull Terrier,Dog Friendly,4
1335,Bull Terrier,Friendly Toward Strangers,5
1336,Bull Terrier,Amount Of Shedding,3
1337,Bull Terrier,Drooling Potential,1
1338,Bull Terrier,Easy To Groom,5
1339,Bull Terrier,General Health,4
1340,Bull Terrier,Potential For Weight Gain,5
1341,Bull Terrier,Size,2
1342,Bull Terrier,Easy To Train,5
1343,Bull Terrier,Intelligence,4
1344,Bull Terrier,Potential For Mouthiness,4
1345,Bull Terrier,Prey Drive,4
1346,Bull Terrier,Tendency To Bark Or Howl,1
1347,Bull Terrier,Wanderlust Potential,5
1348,Bull Terrier,Energy Level,4
1349,Bull Terrier,Intensity,5
1350,Bull Terrier,Exercise Needs,5
1351,Bull Terrier,Potential For Playfulness,5
1352,Bulldog,Adapts Well to Apartment Living,5
1353,Bulldog,Good For Novice Owners,4
1354,Bulldog,Sensitivity Level,4
1355,Bulldog,Tolerates Being Alone,3
1356,Bulldog,Tolerates Cold Weather,1
1357,Bulldog,Tolerates Hot Weather,1
1358,Bulldog,Affectionate with Family,5
1359,Bulldog,Incredibly Kid Friendly Dogs,4
1360,Bulldog,Dog Friendly,2
1361,Bulldog,Friendly Toward Strangers,5
1362,Bulldog,Amount Of Shedding,3
1363,Bulldog,Drooling Potential,5
1364,Bulldog,Easy To Groom,5
1365,Bulldog,General Health,4
1366,Bulldog,Potential For Weight Gain,5
1367,Bulldog,Size,2
1368,Bulldog,Easy To Train,3
1369,Bulldog,Intelligence,2
1370,Bulldog,Potential For Mouthiness,2
1371,Bulldog,Prey Drive,2
1372,Bulldog,Tendency To Bark Or Howl,4
1373,Bulldog,Wanderlust Potential,1
1374,Bulldog,Energy Level,2
1375,Bulldog,Intensity,3
1376,Bulldog,Exercise Needs,3
1377,Bulldog,Potential For Playfulness,4
1378,Bullmastiff,Adapts Well to Apartment Living,3
1379,Bullmastiff,Good For Novice Owners,2
1380,Bullmastiff,Sensitivity Level,4
1381,Bullmastiff,Tolerates Being Alone,2
1382,Bullmastiff,Tolerates Cold Weather,4
1383,Bullmastiff,Tolerates Hot Weather,2
1384,Bullmastiff,Affectionate with Family,5
1385,Bullmastiff,Incredibly Kid Friendly Dogs,5
1386,Bullmastiff,Dog Friendly,4
1387,Bullmastiff,Friendly Toward Strangers,3
1388,Bullmastiff,Amount Of Shedding,1
1389,Bullmastiff,Drooling Potential,5
1390,Bullmastiff,Easy To Groom,5
1391,Bullmastiff,General Health,2
1392,Bullmastiff,Potential For Weight Gain,5
1393,Bullmastiff,Size,5
1394,Bullmastiff,Easy To Train,3
1395,Bullmastiff,Intelligence,3
1396,Bullmastiff,Potential For Mouthiness,3
1397,Bullmastiff,Prey Drive,3
1398,Bullmastiff,Tendency To Bark Or Howl,4
1399,Bullmastiff,Wanderlust Potential,3
1400,Bullmastiff,Energy Level,2
1401,Bullmastiff,Intensity,4
1402,Bullmastiff,Exercise Needs,3
1403,Bullmastiff,Potential For Playfulness,5
1404,Cairn Terrier,Adapts Well to Apartment Living,5
1405,Cairn Terrier,Good For Novice Owners,4
1406,Cairn Terrier,Sensitivity Level,3
1407,Cairn Terrier,Tolerates Being Alone,1
1408,Cairn Terrier,Tolerates Cold Weather,4
1409,Cairn Terrier,Tolerates Hot Weather,4
1410,Cairn Terrier,Affectionate with Family,5
1411,Cairn Terrier,Incredibly Kid Friendly Dogs,5
1412,Cairn Terrier,Dog Friendly,4
1413,Cairn Terrier,Friendly Toward Strangers,4
1414,Cairn Terrier,Amount Of Shedding,3
1415,Cairn Terrier,Drooling Potential,1
1416,Cairn Terrier,Easy To Groom,5
1417,Cairn Terrier,General Health,4
1418,Cairn Terrier,Potential For Weight Gain,3
1419,Cairn Terrier,Size,1
1420,Cairn Terrier,Easy To Train,2
1421,Cairn Terrier,Intelligence,5
1422,Cairn Terrier,Potential For Mouthiness,3
1423,Cairn Terrier,Prey Drive,4
1424,Cairn Terrier,Tendency To Bark Or Howl,4
1425,Cairn Terrier,Wanderlust Potential,3
1426,Cairn Terrier,Energy Level,5
1427,Cairn Terrier,Intensity,4
1428,Cairn Terrier,Exercise Needs,4
1429,Cairn Terrier,Potential For Playfulness,5
1430,Canaan Dog,Adapts Well to Apartment Living,4
1431,Canaan Dog,Good For Novice Owners,4
1432,Canaan Dog,Sensitivity Level,4
1433,Canaan Dog,Tolerates Being Alone,3
1434,Canaan Dog,Tolerates Cold Weather,3
1435,Canaan Dog,Tolerates Hot Weather,5
1436,Canaan Dog,Affectionate with Family,4
1437,Canaan Dog,Incredibly Kid Friendly Dogs,2
1438,Canaan Dog,Dog Friendly,3
1439,Canaan Dog,Friendly Toward Strangers,2
1440,Canaan Dog,Amount Of Shedding,4
1441,Canaan Dog,Drooling Potential,1
1442,Canaan Dog,Easy To Groom,5
1443,Canaan Dog,General Health,5
1444,Canaan Dog,Potential For Weight Gain,2
1445,Canaan Dog,Size,3
1446,Canaan Dog,Easy To Train,5
1447,Canaan Dog,Intelligence,4
1448,Canaan Dog,Potential For Mouthiness,3
1449,Canaan Dog,Prey Drive,3
1450,Canaan Dog,Tendency To Bark Or Howl,3
1451,Canaan Dog,Wanderlust Potential,2
1452,Canaan Dog,Energy Level,4
1453,Canaan Dog,Intensity,3
1454,Canaan Dog,Exercise Needs,3
1455,Canaan Dog,Potential For Playfulness,4
1456,Cane Corso,Adapts Well to Apartment Living,1
1457,Cane Corso,Good For Novice Owners,1
1458,Cane Corso,Sensitivity Level,3
1459,Cane Corso,Tolerates Being Alone,1
1460,Cane Corso,Tolerates Cold Weather,3
1461,Cane Corso,Tolerates Hot Weather,4
1462,Cane Corso,Affectionate with Family,4
1463,Cane Corso,Incredibly Kid Friendly Dogs,2
1464,Cane Corso,Dog Friendly,3
1465,Cane Corso,Friendly Toward Strangers,2
1466,Cane Corso,Amount Of Shedding,3
1467,Cane Corso,Drooling Potential,4
1468,Cane Corso,Easy To Groom,5
1469,Cane Corso,General Health,3
1470,Cane Corso,Potential For Weight Gain,4
1471,Cane Corso,Size,4
1472,Cane Corso,Easy To Train,4
1473,Cane Corso,Intelligence,5
1474,Cane Corso,Potential For Mouthiness,2
1475,Cane Corso,Prey Drive,5
1476,Cane Corso,Tendency To Bark Or Howl,3
1477,Cane Corso,Wanderlust Potential,2
1478,Cane Corso,Energy Level,4
1479,Cane Corso,Intensity,3
1480,Cane Corso,Exercise Needs,5
1481,Cane Corso,Potential For Playfulness,2
1482,Cardigan Welsh Corgi,Adapts Well to Apartment Living,4
1483,Cardigan Welsh Corgi,Good For Novice Owners,4
1484,Cardigan Welsh Corgi,Sensitivity Level,4
1485,Cardigan Welsh Corgi,Tolerates Being Alone,3
1486,Cardigan Welsh Corgi,Tolerates Cold Weather,4
1487,Cardigan Welsh Corgi,Tolerates Hot Weather,3
1488,Cardigan Welsh Corgi,Affectionate with Family,5
1489,Cardigan Welsh Corgi,Incredibly Kid Friendly Dogs,4
1490,Cardigan Welsh Corgi,Dog Friendly,3
1491,Cardigan Welsh Corgi,Friendly Toward Strangers,3
1492,Cardigan Welsh Corgi,Amount Of Shedding,4
1493,Cardigan Welsh Corgi,Drooling Potential,1
1494,Cardigan Welsh Corgi,Easy To Groom,3
1495,Cardigan Welsh Corgi,General Health,4
1496,Cardigan Welsh Corgi,Potential For Weight Gain,4
1497,Cardigan Welsh Corgi,Size,2
1498,Cardigan Welsh Corgi,Easy To Train,4
1499,Cardigan Welsh Corgi,Intelligence,5
1500,Cardigan Welsh Corgi,Potential For Mouthiness,2
1501,Cardigan Welsh Corgi,Prey Drive,4
1502,Cardigan Welsh Corgi,Tendency To Bark Or Howl,2
1503,Cardigan Welsh Corgi,Wanderlust Potential,3
1504,Cardigan Welsh Corgi,Energy Level,3
1505,Cardigan Welsh Corgi,Intensity,3
1506,Cardigan Welsh Corgi,Exercise Needs,3
1507,Cardigan Welsh Corgi,Potential For Playfulness,4
1508,Catahoula Leopard Dog,Adapts Well to Apartment Living,1
1509,Catahoula Leopard Dog,Good For Novice Owners,1
1510,Catahoula Leopard Dog,Sensitivity Level,2
1511,Catahoula Leopard Dog,Tolerates Being Alone,2
1512,Catahoula Leopard Dog,Tolerates Cold Weather,3
1513,Catahoula Leopard Dog,Tolerates Hot Weather,3
1514,Catahoula Leopard Dog,Affectionate with Family,5
1515,Catahoula Leopard Dog,Incredibly Kid Friendly Dogs,3
1516,Catahoula Leopard Dog,Dog Friendly,1
1517,Catahoula Leopard Dog,Friendly Toward Strangers,1
1518,Catahoula Leopard Dog,Amount Of Shedding,3
1519,Catahoula Leopard Dog,Drooling Potential,1
1520,Catahoula Leopard Dog,Easy To Groom,5
1521,Catahoula Leopard Dog,General Health,3
1522,Catahoula Leopard Dog,Potential For Weight Gain,3
1523,Catahoula Leopard Dog,Size,4
1524,Catahoula Leopard Dog,Easy To Train,2
1525,Catahoula Leopard Dog,Intelligence,3
1526,Catahoula Leopard Dog,Potential For Mouthiness,3
1527,Catahoula Leopard Dog,Prey Drive,1
1528,Catahoula Leopard Dog,Tendency To Bark Or Howl,3
1529,Catahoula Leopard Dog,Wanderlust Potential,3
1530,Catahoula Leopard Dog,Energy Level,4
1531,Catahoula Leopard Dog,Intensity,3
1532,Catahoula Leopard Dog,Exercise Needs,5
1533,Catahoula Leopard Dog,Potential For Playfulness,2
1534,Caucasian Shepherd Dog,Adapts Well to Apartment Living,2
1535,Caucasian Shepherd Dog,Good For Novice Owners,1
1536,Caucasian Shepherd Dog,Sensitivity Level,2
1537,Caucasian Shepherd Dog,Tolerates Being Alone,3
1538,Caucasian Shepherd Dog,Tolerates Cold Weather,5
1539,Caucasian Shepherd Dog,Tolerates Hot Weather,2
1540,Caucasian Shepherd Dog,Affectionate with Family,4
1541,Caucasian Shepherd Dog,Incredibly Kid Friendly Dogs,2
1542,Caucasian Shepherd Dog,Dog Friendly,2
1543,Caucasian Shepherd Dog,Friendly Toward Strangers,2
1544,Caucasian Shepherd Dog,Amount Of Shedding,4
1545,Caucasian Shepherd Dog,Drooling Potential,4
1546,Caucasian Shepherd Dog,Easy To Groom,2
1547,Caucasian Shepherd Dog,General Health,3
1548,Caucasian Shepherd Dog,Potential For Weight Gain,4
1549,Caucasian Shepherd Dog,Size,5
1550,Caucasian Shepherd Dog,Easy To Train,2
1551,Caucasian Shepherd Dog,Intelligence,4
1552,Caucasian Shepherd Dog,Potential For Mouthiness,4
1553,Caucasian Shepherd Dog,Prey Drive,3
1554,Caucasian Shepherd Dog,Tendency To Bark Or Howl,3
1555,Caucasian Shepherd Dog,Wanderlust Potential,2
1556,Caucasian Shepherd Dog,Energy Level,2
1557,Caucasian Shepherd Dog,Intensity,4
1558,Caucasian Shepherd Dog,Exercise Needs,2
1559,Caucasian Shepherd Dog,Potential For Playfulness,3
1560,Cavalier King Charles Spaniel,Adapts Well to Apartment Living,5
1561,Cavalier King Charles Spaniel,Good For Novice Owners,5
1562,Cavalier King Charles Spaniel,Sensitivity Level,5
1563,Cavalier King Charles Spaniel,Tolerates Being Alone,1
1564,Cavalier King Charles Spaniel,Tolerates Cold Weather,3
1565,Cavalier King Charles Spaniel,Tolerates Hot Weather,2
1566,Cavalier King Charles Spaniel,Affectionate with Family,5
1567,Cavalier King Charles Spaniel,Incredibly Kid Friendly Dogs,5
1568,Cavalier King Charles Spaniel,Dog Friendly,5
1569,Cavalier King Charles Spaniel,Friendly Toward Strangers,5
1570,Cavalier King Charles Spaniel,Amount Of Shedding,3
1571,Cavalier King Charles Spaniel,Drooling Potential,1
1572,Cavalier King Charles Spaniel,Easy To Groom,4
1573,Cavalier King Charles Spaniel,General Health,4
1574,Cavalier King Charles Spaniel,Potential For Weight Gain,4
1575,Cavalier King Charles Spaniel,Size,2
1576,Cavalier King Charles Spaniel,Easy To Train,4
1577,Cavalier King Charles Spaniel,Intelligence,4
1578,Cavalier King Charles Spaniel,Potential For Mouthiness,3
1579,Cavalier King Charles Spaniel,Prey Drive,3
1580,Cavalier King Charles Spaniel,Tendency To Bark Or Howl,3
1581,Cavalier King Charles Spaniel,Wanderlust Potential,2
1582,Cavalier King Charles Spaniel,Energy Level,3
1583,Cavalier King Charles Spaniel,Intensity,2
1584,Cavalier King Charles Spaniel,Exercise Needs,4
1585,Cavalier King Charles Spaniel,Potential For Playfulness,5
1586,Cesky Terrier,Adapts Well to Apartment Living,5
1587,Cesky Terrier,Good For Novice Owners,4
1588,Cesky Terrier,Sensitivity Level,4
1589,Cesky Terrier,Tolerates Being Alone,3
1590,Cesky Terrier,Tolerates Cold Weather,3
1591,Cesky Terrier,Tolerates Hot Weather,3
1592,Cesky Terrier,Affectionate with Family,5
1593,Cesky Terrier,Incredibly Kid Friendly Dogs,3
1594,Cesky Terrier,Dog Friendly,2
1595,Cesky Terrier,Friendly Toward Strangers,3
1596,Cesky Terrier,Amount Of Shedding,1
1597,Cesky Terrier,Drooling Potential,1
1598,Cesky Terrier,Easy To Groom,4
1599,Cesky Terrier,General Health,5
1600,Cesky Terrier,Potential For Weight Gain,4
1601,Cesky Terrier,Size,2
1602,Cesky Terrier,Easy To Train,4
1603,Cesky Terrier,Intelligence,3
1604,Cesky Terrier,Potential For Mouthiness,3
1605,Cesky Terrier,Prey Drive,2
1606,Cesky Terrier,Tendency To Bark Or Howl,3
1607,Cesky Terrier,Wanderlust Potential,3
1608,Cesky Terrier,Energy Level,2
1609,Cesky Terrier,Intensity,3
1610,Cesky Terrier,Exercise Needs,3
1611,Cesky Terrier,Potential For Playfulness,5
1612,Chesapeake Bay Retriever,Adapts Well to Apartment Living,1
1613,Chesapeake Bay Retriever,Good For Novice Owners,1
1614,Chesapeake Bay Retriever,Sensitivity Level,3
1615,Chesapeake Bay Retriever,Tolerates Being Alone,2
1616,Chesapeake Bay Retriever,Tolerates Cold Weather,4
1617,Chesapeake Bay Retriever,Tolerates Hot Weather,4
1618,Chesapeake Bay Retriever,Affectionate with Family,5
1619,Chesapeake Bay Retriever,Incredibly Kid Friendly Dogs,3
1620,Chesapeake Bay Retriever,Dog Friendly,1
1621,Chesapeake Bay Retriever,Friendly Toward Strangers,1
1622,Chesapeake Bay Retriever,Amount Of Shedding,5
1623,Chesapeake Bay Retriever,Drooling Potential,3
1624,Chesapeake Bay Retriever,Easy To Groom,5
1625,Chesapeake Bay Retriever,General Health,4
1626,Chesapeake Bay Retriever,Potential For Weight Gain,4
1627,Chesapeake Bay Retriever,Size,3
1628,Chesapeake Bay Retriever,Easy To Train,3
1629,Chesapeake Bay Retriever,Intelligence,4
1630,Chesapeake Bay Retriever,Potential For Mouthiness,3
1631,Chesapeake Bay Retriever,Prey Drive,3
1632,Chesapeake Bay Retriever,Tendency To Bark Or Howl,3
1633,Chesapeake Bay Retriever,Wanderlust Potential,4
1634,Chesapeake Bay Retriever,Energy Level,5
1635,Chesapeake Bay Retriever,Intensity,5
1636,Chesapeake Bay Retriever,Exercise Needs,5
1637,Chesapeake Bay Retriever,Potential For Playfulness,4
1638,Chihuahua,Adapts Well to Apartment Living,5
1639,Chihuahua,Good For Novice Owners,4
1640,Chihuahua,Sensitivity Level,5
1641,Chihuahua,Tolerates Being Alone,1
1642,Chihuahua,Tolerates Cold Weather,1
1643,Chihuahua,Tolerates Hot Weather,2
1644,Chihuahua,Affectionate with Family,5
1645,Chihuahua,Incredibly Kid Friendly Dogs,5
1646,Chihuahua,Dog Friendly,2
1647,Chihuahua,Friendly Toward Strangers,2
1648,Chihuahua,Amount Of Shedding,2
1649,Chihuahua,Drooling Potential,1
1650,Chihuahua,Easy To Groom,5
1651,Chihuahua,General Health,2
1652,Chihuahua,Potential For Weight Gain,3
1653,Chihuahua,Size,1
1654,Chihuahua,Easy To Train,4
1655,Chihuahua,Intelligence,4
1656,Chihuahua,Potential For Mouthiness,3
1657,Chihuahua,Prey Drive,3
1658,Chihuahua,Tendency To Bark Or Howl,3
1659,Chihuahua,Wanderlust Potential,2
1660,Chihuahua,Energy Level,3
1661,Chihuahua,Intensity,2
1662,Chihuahua,Exercise Needs,1
1663,Chihuahua,Potential For Playfulness,4
1664,Chinese Crested,Adapts Well to Apartment Living,5
1665,Chinese Crested,Good For Novice Owners,3
1666,Chinese Crested,Sensitivity Level,5
1667,Chinese Crested,Tolerates Being Alone,1
1668,Chinese Crested,Tolerates Cold Weather,1
1669,Chinese Crested,Tolerates Hot Weather,3
1670,Chinese Crested,Affectionate with Family,4
1671,Chinese Crested,Incredibly Kid Friendly Dogs,5
1672,Chinese Crested,Dog Friendly,4
1673,Chinese Crested,Friendly Toward Strangers,4
1674,Chinese Crested,Amount Of Shedding,2
1675,Chinese Crested,Drooling Potential,1
1676,Chinese Crested,Easy To Groom,2
1677,Chinese Crested,General Health,5
1678,Chinese Crested,Potential For Weight Gain,2
1679,Chinese Crested,Size,2
1680,Chinese Crested,Easy To Train,4
1681,Chinese Crested,Intelligence,3
1682,Chinese Crested,Potential For Mouthiness,4
1683,Chinese Crested,Prey Drive,3
1684,Chinese Crested,Tendency To Bark Or Howl,3
1685,Chinese Crested,Wanderlust Potential,1
1686,Chinese Crested,Energy Level,2
1687,Chinese Crested,Intensity,1
1688,Chinese Crested,Exercise Needs,2
1689,Chinese Crested,Potential For Playfulness,3
1690,Chinese Shar-Pei,Adapts Well to Apartment Living,4
1691,Chinese Shar-Pei,Good For Novice Owners,2
1692,Chinese Shar-Pei,Sensitivity Level,2
1693,Chinese Shar-Pei,Tolerates Being Alone,4
1694,Chinese Shar-Pei,Tolerates Cold Weather,2
1695,Chinese Shar-Pei,Tolerates Hot Weather,1
1696,Chinese Shar-Pei,Affectionate with Family,2
1697,Chinese Shar-Pei,Incredibly Kid Friendly Dogs,2
1698,Chinese Shar-Pei,Dog Friendly,1
1699,Chinese Shar-Pei,Friendly Toward Strangers,2
1700,Chinese Shar-Pei,Amount Of Shedding,5
1701,Chinese Shar-Pei,Drooling Potential,2
1702,Chinese Shar-Pei,Easy To Groom,5
1703,Chinese Shar-Pei,General Health,1
1704,Chinese Shar-Pei,Potential For Weight Gain,4
1705,Chinese Shar-Pei,Size,3
1706,Chinese Shar-Pei,Easy To Train,3
1707,Chinese Shar-Pei,Intelligence,2
1708,Chinese Shar-Pei,Potential For Mouthiness,5
1709,Chinese Shar-Pei,Prey Drive,2
1710,Chinese Shar-Pei,Tendency To Bark Or Howl,5
1711,Chinese Shar-Pei,Wanderlust Potential,2
1712,Chinese Shar-Pei,Energy Level,2
1713,Chinese Shar-Pei,Intensity,1
1714,Chinese Shar-Pei,Exercise Needs,3
1715,Chinese Shar-Pei,Potential For Playfulness,1
1716,Chinook,Adapts Well to Apartment Living,4
1717,Chinook,Good For Novice Owners,1
1718,Chinook,Sensitivity Level,5
1719,Chinook,Tolerates Being Alone,1
1720,Chinook,Tolerates Cold Weather,5
1721,Chinook,Tolerates Hot Weather,4
1722,Chinook,Affectionate with Family,5
1723,Chinook,Incredibly Kid Friendly Dogs,5
1724,Chinook,Dog Friendly,5
1725,Chinook,Friendly Toward Strangers,4
1726,Chinook,Amount Of Shedding,5
1727,Chinook,Drooling Potential,1
1728,Chinook,Easy To Groom,2
1729,Chinook,General Health,4
1730,Chinook,Potential For Weight Gain,3
1731,Chinook,Size,4
1732,Chinook,Easy To Train,4
1733,Chinook,Intelligence,5
1734,Chinook,Potential For Mouthiness,3
1735,Chinook,Prey Drive,2
1736,Chinook,Tendency To Bark Or Howl,2
1737,Chinook,Wanderlust Potential,2
1738,Chinook,Energy Level,3
1739,Chinook,Intensity,3
1740,Chinook,Exercise Needs,3
1741,Chinook,Potential For Playfulness,4
1742,Chow Chow,Adapts Well to Apartment Living,3
1743,Chow Chow,Good For Novice Owners,2
1744,Chow Chow,Sensitivity Level,2
1745,Chow Chow,Tolerates Being Alone,5
1746,Chow Chow,Tolerates Cold Weather,5
1747,Chow Chow,Tolerates Hot Weather,2
1748,Chow Chow,Affectionate with Family,2
1749,Chow Chow,Incredibly Kid Friendly Dogs,1
1750,Chow Chow,Dog Friendly,1
1751,Chow Chow,Friendly Toward Strangers,1
1752,Chow Chow,Amount Of Shedding,1
1753,Chow Chow,Drooling Potential,3
1754,Chow Chow,Easy To Groom,1
1755,Chow Chow,General Health,2
1756,Chow Chow,Potential For Weight Gain,4
1757,Chow Chow,Size,4
1758,Chow Chow,Easy To Train,2
1759,Chow Chow,Intelligence,1
1760,Chow Chow,Potential For Mouthiness,5
1761,Chow Chow,Prey Drive,2
1762,Chow Chow,Tendency To Bark Or Howl,1
1763,Chow Chow,Wanderlust Potential,2
1764,Chow Chow,Energy Level,2
1765,Chow Chow,Intensity,2
1766,Chow Chow,Exercise Needs,2
1767,Chow Chow,Potential For Playfulness,1
1768,Clumber Spaniel,Adapts Well to Apartment Living,5
1769,Clumber Spaniel,Good For Novice Owners,5
1770,Clumber Spaniel,Sensitivity Level,4
1771,Clumber Spaniel,Tolerates Being Alone,2
1772,Clumber Spaniel,Tolerates Cold Weather,5
1773,Clumber Spaniel,Tolerates Hot Weather,2
1774,Clumber Spaniel,Affectionate with Family,5
